Age,Grade,Gender,Year,Number,Sector
15,C2,MA,1996,40723,PUB
15,C3,FE,1996,43761,PUB
15,C3,MA,1996,50817,PUB
16,C1,FE,1996,4703,PUB
16,C1,MA,1996,11908,PUB
16,C2,FE,1996,12547,PUB
16,C2,MA,1996,24319,PUB
16,C3,FE,1996,38753,PUB
16,C3,MA,1996,53430,PUB
17,C1,FE,1996,1058,PUB
17,C1,MA,1996,2939,PUB
17,C2,FE,1996,4865,PUB
17,C2,MA,1996,11078,PUB
17,C3,FE,1996,27020,PUB
17,C3,MA,1996,42008,PUB
18,C1,FE,1996,141,PUB
18,C1,MA,1996,610,PUB
18,C2,FE,1996,1302,PUB
18,C2,MA,1996,3149,PUB
18,C3,FE,1996,12239,PUB
18,C3,MA,1996,21558,PUB
19,C2,FE,1996,224,PUB
19,C2,MA,1996,522,PUB
19,C3,FE,1996,3188,PUB
19,C3,MA,1996,6100,PUB
20,C2,FE,1996,21,PUB
20,C2,MA,1996,122,PUB
20,C3,FE,1996,563,PUB
20,C3,MA,1996,1184,PUB
21,C3,FE,1996,75,PUB
21,C3,MA,1996,266,PUB
15,C1,FE,1997,13762,PUB
15,C1,MA,1997,28659,PUB
15,C2,FE,1997,26087,PUB
15,C2,MA,1997,40615,PUB
15,C3,FE,1997,44909,PUB
15,C3,MA,1997,51381,PUB
16,C1,FE,1997,4581,PUB
16,C1,MA,1997,11725,PUB
16,C2,FE,1997,12410,PUB
16,C2,MA,1997,24396,PUB
16,C3,FE,1997,39417,PUB
16,C3,MA,1997,54118,PUB
17,C1,FE,1997,912,PUB
17,C1,MA,1997,2702,PUB
17,C2,FE,1997,4362,PUB
17,C2,MA,1997,10046,PUB
17,C3,FE,1997,25106,PUB
17,C3,MA,1997,40049,PUB
18,C1,FE,1997,455,PUB
18,C1,MA,1997,985,PUB
18,C2,FE,1997,1209,PUB
18,C2,MA,1997,2959,PUB
18,C3,FE,1997,11937,PUB
18,C3,MA,1997,21693,PUB
19,C2,FE,1997,347,PUB
19,C2,MA,1997,641,PUB
19,C3,FE,1997,3686,PUB
19,C3,MA,1997,7570,PUB
20,C2,FE,1997,67,PUB
20,C2,MA,1997,211,PUB
20,C3,FE,1997,659,PUB
20,C3,MA,1997,1495,PUB
21,C3,FE,1997,87,PUB
21,C3,MA,1997,243,PUB
15,C1,FE,1998,13125,PUB
15,C1,MA,1998,27961,PUB
15,C2,FE,1998,25028,PUB
15,C2,MA,1998,38023,PUB
15,C3,FE,1998,45604,PUB
15,C3,MA,1998,51750,PUB
16,C1,FE,1998,4215,PUB
16,C1,MA,1998,11013,PUB
16,C2,FE,1998,11807,PUB
16,C2,MA,1998,22441,PUB
16,C3,FE,1998,36924,PUB
16,C3,MA,1998,50265,PUB
17,C1,FE,1998,889,PUB
17,C1,MA,1998,2537,PUB
17,C2,FE,1998,4311,PUB
17,C2,MA,1998,9609,PUB
17,C3,FE,1998,22319,PUB
17,C3,MA,1998,36292,PUB
18,C1,FE,1998,121,PUB
18,C1,MA,1998,572,PUB
18,C2,FE,1998,981,PUB
18,C2,MA,1998,2443,PUB
18,C3,FE,1998,9188,PUB
18,C3,MA,1998,17157,PUB
19,C2,FE,1998,157,PUB
19,C2,MA,1998,424,PUB
19,C3,FE,1998,2762,PUB
19,C3,MA,1998,5890,PUB
20,C2,FE,1998,16,PUB
20,C2,MA,1998,124,PUB
20,C3,FE,1998,499,PUB
20,C3,MA,1998,1222,PUB
21,C3,FE,1998,63,PUB
21,C3,MA,1998,256,PUB
15,C1,FE,1999,14441,PUB
15,C1,MA,1999,29441,PUB
15,C2,FE,1999,26013,PUB
15,C2,MA,1999,40236,PUB
15,C3,FE,1999,47945,PUB
15,C3,MA,1999,52052,PUB
16,C1,FE,1999,4638,PUB
16,C1,MA,1999,11342,PUB
16,C2,FE,1999,11520,PUB
16,C2,MA,1999,22032,PUB
16,C3,FE,1999,36289,PUB
16,C3,MA,1999,47795,PUB
17,C1,FE,1999,1007,PUB
17,C1,MA,1999,2767,PUB
17,C2,FE,1999,4009,PUB
17,C2,MA,1999,9266,PUB
17,C3,FE,1999,21864,PUB
17,C3,MA,1999,33974,PUB
18,C1,FE,1999,179,PUB
18,C1,MA,1999,710,PUB
18,C2,FE,1999,1215,PUB
18,C2,MA,1999,3124,PUB
18,C3,FE,1999,12249,PUB
